"Population","variable","value","maxVals","minVals","numVariable"
"focus","KLRG1",337,NA,NA,2.54730473047305
"focus","KLRG1",294,NA,NA,2.54740474047405
"focus","KLRG1",355,NA,NA,2.54750475047505
"focus","KLRG1",321,NA,NA,2.54760476047605
"focus","KLRG1",310,NA,NA,2.54770477047705
"focus","KLRG1",300,NA,NA,2.54780478047805
"focus","KLRG1",308,NA,NA,2.54790479047905
"focus","KLRG1",340,NA,NA,2.54800480048005
"focus","KLRG1",327,NA,NA,2.54810481048105
"focus","KLRG1",351,NA,NA,2.54820482048205
"focus","KLRG1",328,NA,NA,2.54830483048305
"focus","KLRG1",284,NA,NA,2.54840484048405
"focus","KLRG1",312,NA,NA,2.54850485048505
"focus","KLRG1",305,NA,NA,2.54860486048605
"focus","KLRG1",292,NA,NA,2.54870487048705
"focus","KLRG1",367,NA,NA,2.54880488048805
"focus","KLRG1",311,NA,NA,2.54890489048905
"focus","KLRG1",290,NA,NA,2.54900490049005
"focus","KLRG1",353,NA,NA,2.54910491049105
"focus","KLRG1",239,NA,NA,2.54920492049205
"focus","KLRG1",335,NA,NA,2.54930493049305
"focus","KLRG1",283,NA,NA,2.54940494049405
"focus","KLRG1",297,NA,NA,2.54950495049505
"focus","KLRG1",321,NA,NA,2.54960496049605
"focus","KLRG1",338,NA,NA,2.54970497049705
"focus","KLRG1",332,NA,NA,2.54980498049805
"focus","KLRG1",324,NA,NA,2.54990499049905
"focus","KLRG1",314,NA,NA,2.55000500050005
"focus","KLRG1",326,NA,NA,2.55010501050105
"focus","KLRG1",313,NA,NA,2.55020502050205
"focus","KLRG1",314,NA,NA,2.55030503050305
"focus","KLRG1",312,NA,NA,2.55040504050405
"focus","KLRG1",282,NA,NA,2.55050505050505
"focus","KLRG1",311,NA,NA,2.55060506050605
"focus","KLRG1",331,NA,NA,2.55070507050705
"focus","KLRG1",333,NA,NA,2.55080508050805
"focus","KLRG1",324,NA,NA,2.55090509050905
"focus","KLRG1",287,NA,NA,2.55100510051005
"focus","KLRG1",298,NA,NA,2.55110511051105
"focus","KLRG1",309,NA,NA,2.55120512051205
