"","logFC","logCPM","F","PValue","Group"
"IQGAP2",0.0464548531494522,8.67412085270173,0.150975463056655,0.700250723872051,"None"
"HIGD2A",-0.100283590303668,8.35801629679108,0.798147380594776,0.540529578848403,"None"
"PPP1R18",0.183095048505006,8.90365915120302,2.97590790840774,0.0944329669668834,"None"
"PNRC1",-0.149324229245526,10.540950556233,3.55824024962375,0.0686130920037357,"None"
"SH3KBP1",0.0329595014799763,8.54884724144649,0.180769228064917,0.774848684641703,"None"
"MSN",0.0539403325704664,10.0702872783221,0.288187069734656,0.595202375871873,"None"
"NDUFB11",-0.129501889102741,8.38049063651986,0.962076764470785,0.33422893644408,"None"
"IL2RG",-0.029014539128634,10.5847074813829,0.0854750897265557,0.771950931226185,"None"
"DOK2",0.120951840487582,8.76518751172576,0.815064652997196,0.373562755310893,"None"
"NDUFB9",-0.218237103127119,8.28189052648696,4.26410546784894,0.0473425982905338,"None"
"ADD3",-0.0360657407539104,8.34880414379206,0.129209232505362,0.721681214380664,"None"
"DGKZ",0.129647358376641,8.28090930564006,1.76720276180403,0.193392780005129,"None"
"ATM",-0.135892379213697,8.47895404389665,0.812921370713618,0.374219685833504,"None"
"ALDOA",-0.00820741180007518,8.66714751073135,0.0052642391378838,0.942624524652782,"None"
"KLRF1",-0.173578095695159,9.57323582948495,2.99198345055374,0.10452317462062,"None"
"SAP18",0.125941442463425,8.49894108026893,1.64118615002837,0.220327117493862,"None"
"PRSS23",0.594757716243114,8.58166732580476,8.19427757784807,0.00814284907191362,"None"
"PIP4K2A",-0.0378463629411891,8.9209633157997,0.0865611968397985,0.770548927101279,"None"
"UBC",0.0455127000813684,10.9639702571972,0.335455896699653,0.566633426970328,"None"
"NDUFC2",0.144216048944787,8.30888805480506,2.3230606776827,0.157155552102421,"None"
"PARP8",-0.117951111510327,8.74496392304051,0.237740987436916,0.630007034890157,"None"
"RABGAP1L",-0.117147974234335,8.47497229720667,0.717471093185848,0.403442243480133,"None"
"MZT2B",-0.377650264904783,8.58797780864541,11.0383296459807,0.00229070462222145,"Down"
"ZFP36L2",0.0302575193292892,10.493540977174,0.0237939455963831,0.878623636848959,"None"
"MBNL1",-0.0840599982027797,9.6384302519176,0.49785733291702,0.485691968362211,"None"
"HNRNPDL",0.00555194380623449,9.61321969003146,0.00312181645799886,0.95580001453683,"None"
"UTRN",-0.133934739960197,8.93218732192508,0.941457199143345,0.339385143003837,"None"
"CAST",0.410720664168177,9.21231839818023,11.7442282206502,0.00173601993742008,"Up"
"HNRNPU",-0.0434854756151973,9.19691008216777,0.281426617798856,0.736021649498846,"None"
"CYRIB",0.0326535176580353,9.04683814810733,0.117287267169946,0.734298012388801,"None"
"PITPNC1",-0.235199193678753,8.43595693235739,2.814404069743,0.10343946232072,"None"
"RHOC",0.035667467247643,9.06127480404936,0.0765446960625141,0.783865137500909,"None"
"DBI",0.154566947998073,9.12986272162199,1.71809379068547,0.19953017792892,"None"
"RASA2",-0.194248309096236,8.33756593741092,1.33605407966001,0.256677301369443,"None"
"UQCRB",0.012861489635069,9.30187892169138,0.025193901538858,0.8749105035937,"None"
"TSC22D3",0.245591086966161,9.83343321719644,0.676276159024317,0.418973852185885,"None"
"TAGLN2",-0.37334083437761,9.83282010756409,7.60266020981469,0.00968745413088152,"None"
"FCER1G",-0.0829889389331557,10.7338394378532,0.613779418050047,0.43929074753696,"None"
"EPB41",0.0456655501153949,8.13360174708773,0.136775548064957,0.714012943323932,"None"
"SON",-0.192153813408675,9.59274427914454,5.44573607519709,0.026249223389458,"None"
"SPON2",0.639967437408426,10.9694327243297,10.1003796670006,0.0038962075390855,"None"
"CTBP1",0.0371271365814803,8.59987986207224,0.134824239737326,0.715966971867412,"None"
"CALM3",0.0567761900533956,8.21855127315142,0.251685883169037,0.619421595070943,"None"
"ITGB2",0.197667882070304,11.288366572162,5.32317257031867,0.0278607626146466,"None"
"PRMT2",0.0307167570698593,8.8909404684507,0.0259921528715761,0.873063952616412,"None"
"IER2",-0.329590884905467,9.25350662986748,4.58717998952703,0.0402863877304905,"None"
"LY6E",-0.00629754145454142,9.75744097477366,0.00234534520253337,0.961685641301371,"None"
"SQSTM1",0.0235561769118761,8.44813543502004,0.0332216556222186,0.856554553389176,"None"
"EIF4A1",-0.10974266304473,9.17406573030268,0.820648841433682,0.37195170476062,"None"
"UBXN1",-0.110264398089185,8.25429378328788,1.40986995731834,0.280591399650676,"None"
"JAK1",-0.342859856469506,10.4242662069638,13.437882556222,0.000912390503939607,"Down"
"LAPTM5",0.30914478109377,9.77345936063442,11.6244435731885,0.00181892947852805,"Up"
"ARPC5",-0.0349382838812805,8.84268356595432,0.112920889944072,0.936329632470922,"None"
"H3-3A",-0.061877640657882,10.4569570508723,0.82818744945869,0.746250592176458,"None"
"S100A11",0.0891010460423203,8.63515236462829,0.387633834982049,0.538105448064977,"None"
"IGFBP7",0.378433240031819,9.04870399457309,3.3660063535014,0.0780155991695355,"None"
"KRTCAP2",0.0741049799685682,8.52785566862591,0.488213971314868,0.489914595760028,"None"
"ARPC2",0.164034197498711,10.4478646652243,3.99262314344016,0.0545030331826613,"None"
"SSR2",-0.0372329420891225,9.1287075151416,0.184372474027185,0.945876162136096,"None"
"PYHIN1",0.110908868865733,8.85235060129974,0.638875625806569,0.430177331120248,"None"
"H2AZ1",-0.334176447354899,8.25780847722382,4.37464344068388,0.0448750204832559,"None"
