"","logFC","logCPM","F","PValue","Group"
"NFKBIA",-0.539881413551971,9.243273280477,3.58610945206193,0.0680492302466679,"None"
"PSME2",-0.402194482343524,8.83956317921993,12.017010397986,0.00136828563579277,"Down"
"PNN",0.288743510988705,7.71410442402026,10.2657723746239,0.00276181373248129,"Up"
"STK4",-0.000202821052634529,8.88059724095251,1.15645532759213e-05,0.997304651377404,"None"
"PRPF6",0.235376934433185,7.42867397576482,5.66652433443933,0.0224701816958327,"Up"
"PSMA7",-0.353060222687275,8.58646057448268,19.1673669647973,9.21737151402614e-05,"Down"
"CDC25B",-0.409958523709868,8.02170508673482,21.7001072297278,3.91650726944202e-05,"Down"
"SAMHD1",0.136616408945095,8.92443757117766,1.93859294180041,0.172005779412004,"None"
"CHMP4B",-0.189373009231219,7.28505452284692,4.62713162343799,0.0379649976542046,"None"
"VAPA",0.0557448422051634,7.6434975271502,0.709278505115285,0.405011222676368,"None"
"SMCHD1",-0.135113018154824,8.84589967066996,1.45989364921771,0.234621470300393,"None"
"MYL12A",-0.182201785023425,10.9176663925459,10.1962830871656,0.0028445720985229,"Down"
"RNMT",0.0819613001366147,7.25558261105543,0.591341837556737,0.446706821520811,"None"
"RNF125",-0.157172202353155,7.74255392516239,0.949197169081351,0.336880726509329,"None"
"ANKRD12",-0.111344036215983,8.92118504564455,2.58526410536771,0.649131125261594,"None"
"ALG13",0.473518463029902,6.74007240377451,20.3939989110435,6.05807553243783e-05,"Up"
"STAG2",0.146651634893532,7.61903436585003,3.12174833702268,0.0853749371279371,"None"
"RBBP7",-0.0726944059221605,7.36663998121436,0.643484979769656,0.42749528177222,"None"
"PIM2",0.768478003225379,7.36960831812491,31.7102308707793,2.16306457588319e-06,"Up"
"PQBP1",0.531697978250236,7.04368493430103,35.7611859464169,6.31176239734751e-07,"Up"
"EMD",0.139648167839282,7.60853601330071,3.95244217561229,0.0541240838951447,"None"
"PGK1",0.0476338994195481,9.00229535809132,0.476925605248683,0.49406169908237,"None"
