,B_LOMGlow_2,CD4T_EOMGlow_3,CD8T_LOMGlow_2,NK_EOMGlow_1
CDK2AP2,0.70947373,-1.247003235,NA,NA
CDK6,2.241391924,-0.957953202,NA,-0.867037777
CDKL1,-6.163245148,NA,NA,NA
CDKN1A,-7.526987026,NA,NA,NA
CDKN2D,-1.326459815,NA,NA,NA
CEBPD,NA,NA,3.205564739,-0.59772325
CENPC,-1.098333711,NA,NA,NA
CENPH,-6.236581038,NA,NA,NA
CENPV,NA,-6.803157958,NA,NA
CEP120,-1.163509304,NA,-0.727034868,NA
CEP128,NA,NA,-1.399238817,NA
CEP41,NA,NA,-1.851833436,NA
CEP78,NA,-1.658777658,NA,NA
CEPT1,-1.733209872,-1.854271301,NA,NA
CERK,1.12341929,NA,0.890784952,NA
CETN3,NA,-6.854914997,NA,NA
CFH,NA,NA,1.583544912,NA
CHD4,NA,-1.089119086,NA,NA
CHD7,-1.056830695,-1.217306682,0.893807652,0.689756084
CHFR,NA,NA,-1.071716328,NA
CHIC1,-6.467741671,NA,NA,NA
CHMP7,NA,NA,-1.19824163,NA
CHRAC1,NA,-1.032728141,NA,NA
CHRNB1,NA,-6.259346328,-2.122020767,NA
CHST14,NA,-6.192351654,NA,NA
CHST15,1.002601585,NA,NA,NA
CHUK,1.498911345,NA,NA,NA
CIB1,-1.307121602,-0.938900971,-0.568366667,NA
CIITA,-2.167763145,NA,NA,NA
CISD2,NA,-1.117199575,NA,NA
CITED2,1.575865984,NA,NA,NA
CKAP4,1.383697911,NA,NA,NA
CKLF,NA,-1.308667214,0.465465418,-0.387594355
CLINT1,1.079822477,NA,NA,NA
CLIP2,-6.224087069,NA,NA,NA
CLIP4,NA,-2.847934301,NA,NA
CLK2,NA,-1.574204126,NA,NA
CLN3,1.189981084,NA,-0.80652105,NA
CLN5,NA,NA,-3.129603659,NA
CLN6,1.710075013,NA,NA,NA
CLPB,NA,-5.773543172,NA,NA
CLPTM1L,1.1950285,-1.137122356,-0.968529007,NA
CLPX,NA,-1.855453887,NA,NA
CMC1,NA,-1.429721053,NA,-0.983221971
CMIP,-3.145088139,-1.680299104,NA,NA
CMTM6,-1.154708581,-1.590941802,NA,NA
CMTM7,-0.815726143,NA,-1.098683166,NA
CNDP2,-1.003930104,NA,NA,NA
CNOT10,-2.56847012,NA,NA,NA
CNOT6L,-1.126206685,NA,NA,NA
CNPY4,NA,-7.088443328,NA,NA
COA1,NA,-1.426651146,NA,-0.545624814
COA3,NA,-1.507070654,NA,NA
COA8,NA,NA,-1.432371367,NA
COG4,NA,NA,-1.031842246,NA
COG7,NA,NA,-1.662486318,NA
COIL,NA,-2.101956035,NA,NA
COLQ,NA,NA,3.569585261,NA
COMMD10,-0.925816101,-1.596068122,NA,NA
COMMD3,1.035567637,-2.670169454,NA,-0.476694665
COMTD1,NA,-1.706955702,NA,NA
COPB1,NA,-1.397481637,NA,NA
COPB2,1.128941918,-1.211667485,NA,NA
COPS3,NA,-1.065611734,NA,NA
COQ10B,-2.024495181,NA,NA,NA
COQ9,NA,-2.406042416,NA,NA
COTL1,-0.649933887,-0.468968898,-2.158795802,-2.932054006
COX14,-1.15775572,NA,NA,NA
COX15,NA,NA,-1.182532455,NA
COX16,NA,-1.048462073,NA,NA
COX18,NA,-6.0118526,NA,NA
COX19,-1.535690103,NA,NA,NA
COX20,NA,-1.035344725,NA,NA
CPNE2,NA,NA,1.032242971,NA
CR2,-2.277581191,NA,NA,NA
CRAT,NA,NA,1.012934381,NA
CREB3,NA,NA,-1.339104848,NA
CREB3L2,NA,NA,1.264971605,NA
CRELD2,1.557206627,NA,NA,NA
CRIP1,NA,-0.619481489,-1.041422762,-0.564772756
CRLS1,1.101111618,NA,NA,NA
CRTAM,NA,NA,-1.192871019,NA
CRYZ,-1.673741584,NA,NA,NA
CSF2RB,2.249319866,NA,NA,NA
CSGALNACT1,NA,NA,-2.110215729,NA
CSMD1,NA,-1.732186364,NA,NA
CSNK1G1,-2.681732271,-1.818374927,NA,NA
CSNK1G3,-1.005520443,-1.956852186,NA,NA
CST3,NA,NA,-3.331558299,NA
CSTF2,NA,NA,-1.173296872,NA
CSTF3,NA,NA,-1.729734005,NA
CTNNA1,NA,-5.900602984,NA,NA
CTNNBIP1,1.327094989,NA,NA,NA
CTPS1,NA,NA,-1.683780639,NA
CTSC,NA,-1.457311881,NA,NA
CTSF,NA,-2.203373899,NA,NA
CTSH,NA,NA,1.515650232,NA
CTSS,-1.40513479,NA,-0.597561709,NA
CTSZ,-0.929587305,-2.070511749,NA,NA
CUL4B,NA,-2.986029931,NA,NA
CUL5,-1.253319411,NA,NA,NA
CUL9,-6.146555098,NA,NA,NA
CUTC,-1.377228565,NA,NA,NA
CX3CR1,NA,NA,-3.662801425,NA
CXCR3,NA,NA,NA,-1.432546606
CXCR6,NA,NA,2.36330359,NA
CXXC5,NA,NA,1.959303645,-0.404825727
CYP2U1,-2.316985275,NA,NA,NA
CYRIA,-2.376394322,NA,NA,NA
CYTH3,NA,NA,1.563573792,NA
CYTH4,-2.316003373,NA,-0.667754472,0.329438359
DAPK2,-5.902481855,NA,NA,NA
DAXX,NA,-1.00194471,NA,NA
DCAF12,2.482336276,NA,NA,NA
DCK,-1.361857034,NA,NA,NA
DCLRE1C,NA,-2.39488877,-1.308556546,NA
DCPS,1.372597873,NA,NA,NA
DCTN2,NA,-1.01580925,NA,NA
DCTPP1,NA,-1.479527084,NA,-0.717344355
DCUN1D4,NA,-2.423687796,NA,NA
DDB1,NA,-1.315628464,NA,NA
DDOST,1.329861707,-0.69080885,NA,NA
DDX49,NA,NA,-1.145489833,NA
DDX60,-6.652756247,NA,NA,NA
DEAF1,NA,-1.882245283,-0.867336342,NA
DEK,-1.214052169,-0.552644414,NA,NA
DENND11,NA,-2.369775684,NA,-0.66389075
DENND4B,-1.514912439,NA,NA,-0.442319708
DENND4C,-1.164082567,-0.885519268,NA,NA
DENND5A,NA,NA,-2.561867001,NA
DERL1,1.289810053,NA,NA,NA
DERL2,1.365550944,-1.498218099,NA,NA
DFFA,NA,-2.360984909,NA,NA
DGKD,NA,NA,-1.002699315,NA
DGKE,-6.168554587,NA,NA,NA
DGKQ,NA,-6.166565053,NA,NA
DHX16,NA,-1.759739809,NA,NA
DHX32,NA,-6.203197827,NA,NA
DHX40,NA,NA,-1.965737434,NA
DIAPH2,-1.362787425,NA,-0.975090786,NA
DIDO1,-1.272765869,NA,NA,NA
DIP2B,-1.03877746,NA,NA,NA
DIS3,NA,-1.410222867,NA,NA
DIS3L,NA,NA,-1.364832224,NA
DLAT,NA,-6.913531787,-1.437853688,NA
DMAP1,NA,-1.300073807,NA,NA
DNAJA4,NA,-6.044017837,NA,NA
DNAJB11,1.734957613,NA,NA,NA
DNAJB2,NA,-2.315401279,NA,NA
DNAJC1,1.268360632,NA,NA,NA
DNAJC13,-1.754743577,NA,NA,NA
DNAJC3,1.223852908,NA,NA,NA
DNASE1L1,-6.427633731,NA,NA,NA
DOCK11,-1.374569905,NA,NA,NA
